NC_001422.1,Phage_F
NC_049917.1,RecT Phage_lysis DUF1367 AntA RIP DUF551 Toprim_3 ORF11CD3 BsuBI_PstI_RE Peptidase_S24 Ail_Lom P22_AR_N CarboxypepD_reg DUF2303 DUF1983 Phage_pRha Prim_Zn_Ribbon HTH_3 Phage_fiber_C Phage_antitermQ PAPS_reduct MT-A70 Eco57I Phage_NinH SASA Helicase_C DUF1382 Collagen Phage_lysozyme Arm-DNA-bind_3 DUF1737 DUF826 DUF4065 DUF4043 Phage_fiber_2 Ead_Ea22 Phage_integrase ResIII Phage_holin_2_1 DUF1627 NinG SLT_beta YqaJ
NC_055800.1,Fer4_12 GST_N_3 Phage_portal ATP-cone NMN_transporter BRCT Toprim_N Helicase_C T5orf172 Ribonuc_red_sm Peptidase_S78 Metallophos_2 Peptidase_M15_3 zf-CHC2 5_3_exonuc_N Band_7 DUF1768 YqeY DnaB_C RNA_ligase Phage_capsid Terminase_6 Metallophos ResIII Macro Ribonuc_red_lgC Nuc_deoxyrib_tr Phage_holin_T NRDD 5_3_exonuc RNase_H NAPRTase AAA_33 DNA_pol_A_exo1 HD_4 DNA_ligase_OB Toprim_4 DNA_pol_A Ig_3 PC4 dUTPase DUF5051 DNA_ligase_aden RNA_lig_T4_1 DUF4326 DUF2163 Phage-tail_3
NC_055801.1,Peptidase_S78 ATP-cone Peptidase_M15_3 YqeY zf-CHC2 Ig_3 Phage_portal GST_N_3 5_3_exonuc T5orf172 AAA_33 Terminase_6 NRDD DNA_pol_A_exo1 ResIII RNA_ligase NMN_transporter DnaB_C HD_4 Phage_holin_T Helicase_C Band_7 Toprim_N Phage_capsid Metallophos_2 Toprim_4 DUF4326 NAPRTase HNH dUTPase Fer4_12 DUF5051 DUF1768 Ribonuc_red_lgC DNA_pol_A Nuc_deoxyrib_tr Phage-tail_3 PC4 DNA_ligase_OB DNA_ligase_aden Macro Ribonuc_red_sm RNA_lig_T4_1 5_3_exonuc_N RNase_H Metallophos BRCT
NC_048778.1,PG_binding_1 Helicase_C fn3 Peptidase_M23 DUF2800 Whib
NC_049928.1,Glyco_hydro_18 RepB_primase DNA_pol_A_exo1 DUF2786 AAA_25 Phage_capsid PDDEXK_1 Terminase_6C PG_binding_1 Prophage_tail PRA-PH Thymidylat_synt DNA_pol_A SNF2_N
NC_048777.1,Whib Collar Peptidase_M23 fn3 Helicase_C DUF2800
NC_053174.1,PE-PPE RecT Recombinase Mu-like_Pro Phage_r1t_holin DUF3850 HNH HTH_31 Peptidase_M15_4 DUF935 Zn_ribbon_recom DUF3263 YqaJ Resolvase
NC_048768.1,HNH_5 N6_N4_Mtase AAA_5 Helicase_C HTH_17 PE-PPE Peptidase_M23 Phage_cap_E Amidase_2 SNF2_N RusA CobT_C DUF4406 RNase_T PhageMin_Tail PDDEXK_1
NC_054723.1,PHP Acid_phosphat_B Peptidase_C39_2 DnaB_C Toprim_2 Glyco_hydro_25 Phage_sheath_1 Helicase_C Whib NLPC_P60 Collagen Baseplate_J RecA DUF5051 ResIII DNA_pol3_alpha Thy1 PTR HHH_6 HTH_31 IstB_IS21 Glutaredoxin HTH_23 DnaJ HIT Aminotran_3
NC_055807.1,HNH_3 AAA_24 Ribonuc_red_lgC Phage_cap_E RNR_N D5_N SNF2_N Thy1 PDDEXK_1 Whib PT-HINT PTR SLT HTH_17 NUMOD4 Helicase_C PHP Phage_prot_Gp6 Ribonuc_red_sm Peptidase_C39_2 DNA_pol3_alpha Flavodoxin_NdrI Pentapeptide Ribonuc_red_lgN PRA-PH
NC_055808.1,Phage_r1t_holin HTH_17 Amidase_2 Lipoprotein_Ltp DUF1360 DUF1906 N6_N4_Mtase HNH_3 YqaJ Transglycosylas DUF2744 Terminase_6C Terminase_6 Phage_Mu_F LGFP RecT NUMOD4 HK97-gp10_like
NC_048787.1,SNF2_N He_PIG RtcB DUF2815 Peptidase_M78 Peptidase_M23 ATP_bind_2 DNA_pol_A DUF2744 Phage_Gp19 DUF2800 Amidase_2 VirE
NC_054453.1,RecT Peptidase_C39_2 HK97-gp10_like Phage_portal DUF2510 BetR DUF2746 Phage_integrase Phage_holin_7_1 ParE_toxin PhdYeFM_antitox Glutaredoxin Peptidase_S78 YqaJ Phage_capsid Whib
NC_048789.1,DUF2744 Peptidase_M23 Phage_integrase P22_AR_N DUF2815 DUF2800 DNA_pol_A HNH_3 VirE Phage_Gp19 HTH_17 Peptidase_M78 He_PIG Glyco_hydro_25 ATP_bind_2 SNF2_N
NC_048790.1,Phage_Gp19 SNF2_N DUF2815 Peptidase_M23 Peptidase_M78 DNA_pol_A HTH_17 Phage_integrase He_PIG ATP_bind_2 DUF2800 DUF2744 Amidase_2 VirE RtcB
NC_048788.1,Phage_prot_Gp6 Phage_int_SAM_3 HNH TylF AAA_24 Phage_cap_E HK97-gp10_like Beta-lactamase DUF732 Glyco_transf_25 DNA_methylase GIY-YIG Phage_r1t_holin Whib Glycos_transf_2 HTH_23 Phage_integrase
NC_055806.1,AAA_24 Helicase_C PHP SNF2_N PDDEXK_1 Glyco_hydro_19 HNH DNA_pol3_alpha D5_N Phage_cap_E Terminase_1 Phage_prot_Gp6 Prim-Pol Peptidase_C39_2
NC_048763.1,Phage_gp49_66 Big_2 DNA_pol_A_exo1 Helicase_C Phage_TAC_9 DUF2570 ResIII PRA-PH AAA_24 Phage_lysozyme DUF3383 Caudo_TAP DUF2612 Thymidylat_synt DNA_pol_A DUF4055 zf-dskA_traR dCMP_cyt_deam_1 Terminase_6 DUF669
NC_055044.1,Prophage_tail CHAP PhageMin_Tail DUF1381 Holin_SPP1 DUF1108 DUF2815 HNH YopX RinB DUF3168 DNA_pol_A HTH_3 dUTPase_2 Terminase_1 Big_2 Phage_portal DUF1514 VirE Phage_capsid DUF2800 Sipho_tail Peptidase_M23 Phage_int_SAM_3 Phage_Orf51 VRR_NUC CLP_protease Amidase_3 SH3_5 HTH_23 Terminase_4 DUF1024 Phage_XkdX Phage_connect_1 DUF3113 DUF3310 PVL_ORF50 DUF2951 Phage_TTP_1 SNF2_N Phage_integrase
NC_054976.1,RecT SSB Phage_capsid Recombinase DUF2479 Phage_Mu_F RusA Phage_XkdX Lipase_GDSL_2 Bro-N Staphylokinase ANT HTH_3 Glucosaminidase Phage_holin_1 DUF2977 Terminase_2 CHAP DUF1024 DUF5067 dUTPase_2 Prophage_tail Phage_prot_Gp6 HTH_19 Phage_TAC_12 Terminase_3C Phage_tail_2 Phage_Orf51 PVL_ORF50 Resolvase DUF4355 RinB AAA_23 DUF1381 DUF2951 Sipho_tail Phage_connect_1 HK97-gp10_like DUF1108 DnaB_2 Terminase_3
NC_048766.1,dUTPase Phage_Mu_F Lipase_GDSL_2 AAA_25 GP3_package Phage_holin_3_3 Prim_Zn_Ribbon HTH_18 DUF2184 Terminase_6C ERF Baseplate_J Phage_lysozyme HTH_3 VRR_NUC DUF3383 Dam SSB DUF3799 DUF2213 Helicase_C DUF1073 DUF4054
NC_048767.1,HTH_18 GP3_package DUF1073 Terminase_6C dUTPase DUF3799 Helicase_C DUF3383 DUF2213 Phage_lysozyme VRR_NUC AAA_25 HTH_3 DUF4054 SSB ERF Baseplate_J Prim_Zn_Ribbon Phage_holin_3_3 Dam DUF2184 Phage_Mu_F
NC_048774.1,DUF2570 Thy1 DUF4326 Ferritin Peptidase_S74 Phage_lysozyme DNA_ligase_OB_2 Ribonuc_red_sm Ion_trans_2 RNA_ligase DnaB_C Band_7 ProQ GATase_6 Sigma70_r2 Ribonuc_red_lgN Fer4_12 HNH_3 Amidoligase_2 Phage_tail_NK Thioredoxin NUDIX ATP-cone DNA_ligase_A_M NAPRTase Toprim_2 COOH-NH2_lig HNH GGACT NRDD Dam DNA_pol_A DnaJ Hydrolase_2 PhoH DUF5309 Ribonuc_red_lgC DUF1983 DUF1190 Metallophos Pribosyltran_N Terminase_6 DUF3307 GSP_synth DUF1768 DCD Phage_endo_I DUF2828 Terminase_6C Pribosyltran AAA
NC_052985.1,DUF1441 DUF2800 BRCT Prim-Pol Phage-tail_3 Peptidase_S49 Phage_portal_2 SNF2_N Phage_cap_E DUF5051 Helicase_C DUF2815 Terminase_GpA PriCT_2 DNA_pol_A gpW RdgC Dam
NC_048775.1,DnaJ DUF2570 PhoH DUF5309 AAA NRDD Phage_endo_I Sigma70_r2 Amidoligase_2 ATP-cone Thy1 RNA_ligase ProQ DUF1983 Ferritin Band_7 GGACT Phage_tail_NK DUF4326 NUDIX Ion_trans_2 I-set Hydrolase_2 Phage_lysozyme Fer4_12 DNA_pol_A DUF2828 DUF1768 Dam DNA_ligase_OB_2 DUF1190 Ribonuc_red_lgC DCD Terminase_6C DnaB_C Peptidase_S74 Ribonuc_red_sm DUF3307 GSP_synth Thioredoxin Ribonuc_red_lgN Metallophos DNA_ligase_A_M COOH-NH2_lig Terminase_6 HNH_3 Toprim_2
NC_048776.1,DnaJ Ion_trans_2 Fer4_12 DUF1768 Terminase_6C DUF2828 Dam Peptidase_S74 Phage_lysozyme HNH_3 Thy1 Ribonuc_red_sm DnaB_C Terminase_6 ATP-cone Ribonuc_red_lgN PhoH NUDIX Amidoligase_2 NAPRTase DUF5309 GATase_6 Sigma70_r2 DCD NRDD GGACT GSP_synth DUF2570 Metallophos DUF4326 Pribosyltran RNA_ligase DNA_ligase_A_M Toprim_2 DUF1190 DNA_pol_A Ferritin Ribonuc_red_lgC COOH-NH2_lig Band_7 DUF1983 AAA ProQ Phage_endo_I Thioredoxin Hydrolase_2 Pribosyltran_N DNA_ligase_OB_2
NC_048779.1,ResIII DNA_ligase_aden HD NUDIX DNA_pol_B BRCT Thymidylat_synt RNase_H phiKZ_IP HTH_18 Glyco_hydro_19 HNH_3 DNA_ligase_OB Thymidylate_kin TK HHH_2 Helicase_C Cpn60_TCP1 HTH_3 HTH_AraC
NC_054806.1,PDDEXK_1 DUF2746 Abhydrolase_1 Gp63 DNA_pol_A RHH_5 DNA_pol_A_exo1 Ribonuc_red_lgC DUF2786 Metallophos Transglycosylas DUF2744 AAA_31 GP24_25 Gp52 DUF4417 Phage_capsid Toprim_2 Gln_amidase GP70 Glutaredoxin Thy1 Phage_prot_Gp6 Phage_Gp19 Gp68 Phage_holin_7_1 Endonuclease_7 DnaB_C
NC_048796.1,Trypsin_2 RNase_T DUF2213 SLT DNA_pol3_alpha adh_short SNF2_N DUF1073 Baseplate_J DUF2184 DUF2786 RepB_primase DUF2612 Terminase_3 VirE Glyco_hydro_19 UvrD_C_2 Thy1 Phage_Mu_F DUF3383 DUF4054 Helicase_C AAA_30
NC_049970.1,Phage_connector LysM SSB NosD Pectate_lyase_3 Amidase_3 Podovirus_Gp16 DNA_pol_B_2 Caud_tail_N Phage_holin_4_1 Beta_helix
NC_049511.1,NUMOD3 DNA_ligase_A_M NUDIX RNA_ligase Terminase_6C Terminase_6 AAA Gp5_OB Gp45_2 Ribonuc_red_lgC SLT Peptidase_S80 MotCF Phage-tail_1 RF-1 Helicase_C NTP_transferase Phage_sheath_1 DNA_pol_B_exo1 Phage_holin_T AAA_23 ResIII Endonuclease_7 DnaB_C DNA_PPF DUF2685 Phage_head_chap Fibritin_C HATPase_c GIY-YIG T4_neck-protein Peptidase_S77 Metallophos AAA_30 GP11 Phage_T4_Ndd ADPrib_exo_Tox Phage_30_3 T4_tail_cap Gp67 UvrD_C_2 DUF2654 Translat_reg DUF4326 S_tail_recep_bd Phage_clamp_A Gp23 Thymidylat_synt Phage_gp53 DNA_Packaging DNA_topoisoIV ATP-cone RNA_lig_T4_1 Phage_T4_gp19 T4_gp9_10 dCMP_cyt_deam_1 Cpn10 Phage_hub_GP28 gp45-slide_C AsiA DNA_pol_B Phage-Gp8 5_3_exonuc_N T4_baseplate Phage_RpbA GSP_synth Phage_T4_gp36 DHFR_1 Phage_sheath_1N Endonuc-dimeris zf-dskA_traR T4_Gp59_C T4_Gp59_N DUF5051 DNA_gyraseB Phage_DsbA T4-gp15_tss Multi_Drug_Res Macro Phage_sheath_1C GPW_gp25 Ribonuc_red_sm Nuc-transf gp32 Phage_lysozyme Collar Ribonuc_red_lgN RNaseH_C AAA_33 Trans_coact Phage-tail_2 WYL_2 ALP
NC_048747.1,phiKZ_IP BRCT HNH_3 DNA_ligase_OB RNase_H NUDIX DNA_pol_B HD Glyco_hydro_19 HHH_2 Thymidylat_synt HTH_18 Cpn60_TCP1 TK Thymidylate_kin Helicase_C DNA_ligase_aden
NC_049849.1,Phage_T4_gp19 PP-binding Toprim_2 DUF3175 Thymidylat_synt Sacchrp_dh_NADP DNA_pol3_delta2 dUTPase_2 QueC GTP_cyclohydroI SNF2_N DNA_ligase_OB DNA_pol_A DNA_ligase_aden Peptidase_S74 DUF3307 dCMP_cyt_deam_1 PTPS Phage_holin_3_3 AAA_33 HATPase_c Toprim 5_3_exonuc Topoisom_I Sacchrp_dh_C HNH Helicase_C DNA_gyraseB DnaB_C DUF350 ResIII NUMOD3 DUF3751 Asn_synthase RecA Phage_sheath_1 SprT-like DNA_topoisoIV Phage_gp49_66 GPW_gp25 PhoH GATase_7 Thioredoxin MmcB-like Hydrolase_2 DUF1289 Glyco_hydro_19 PDDEXK_1 PC4 Cpn10 DNA_pol_A_exo1 NUDIX DUF1737 5_3_exonuc_N Radical_SAM zf-CHC2 GSP_synth NMT1_3
NC_054967.1,AAA_30 HATPase_c_3 DNA_pol_A PG_binding_3 Thioredoxin Thy1 Glyco_hydro_108 DUF4326 DUF2201 PriCT_1 DUF2201_N UvrD_C_2 Phage_gp49_66 HNH_3 dUTPase AAA AAA_24 RNA_pol Big_2
NC_054971.1,PG_binding_3 AAA_30 Thioredoxin HNH_3 UvrD_C_2 DUF4326 HATPase_c_3 dUTPase Glyco_hydro_108 DUF2201 RNA_pol DUF2201_N PriCT_1 Big_2 Phage_gp49_66 Thy1 DNA_pol_A Viral_helicase1
NC_054972.1,PG_binding_3 Thy1 Viral_helicase1 PriCT_1 Phage_gp49_66 dUTPase DUF2201_N DUF4326 RNA_pol Big_2 Glyco_hydro_108 Thioredoxin UvrD_C_2 HNH_3 DUF2201 HATPase_c_3 DNA_pol_A AAA_30
NC_054968.1,Phage_gp49_66 DNA_pol_A HNH_3 DUF2493 DUF2201_N Big_2 dUTPase AAA_30 Thy1 HATPase_c_3 Glyco_hydro_108 AAA_24 UvrD_C_2 Thioredoxin DUF2201 PG_binding_3 RNA_pol AAA PriCT_1
NC_054969.1,Big_2 DUF2201 HNH_3 dUTPase AAA Thioredoxin PriCT_1 AAA_30 RNA_pol HATPase_c_3 AAA_24 DUF2493 UvrD_C_2 Glyco_hydro_108 DUF2201_N Phage_gp49_66 DNA_pol_A PG_binding_3 Thy1
NC_054435.1,Terminase_1 Mrr_cat AAA_25 SSB Glutaredoxin Sipho_Gp37 Cutinase Phage_capsid Lipase_GDSL_2 ERF Phage_portal LGFP Peptidase_S78 Peptidase_M15_4 DnaB PhageMin_Tail
NC_055810.1,Recombinase Terminase_6 DUF2744 HK97-gp10_like Phage_Mu_F Phage_integrase N6_N4_Mtase DUF5131 ParBc DUF3799 LGFP Phage_r1t_holin
NC_048793.1,HNH_3 Peptidase_M23 2_5_RNA_ligase2 Terminase_1 DUF2800 Polysacc_deac_1 PE-PPE Thy1 Phage_capsid Phage_portal dCMP_cyt_deam_1 Amidase_2
NC_054727.1,PRA-PH Helicase_C Glyco_hydro_19 Toprim_2 LysM Endonuclease_7 DNA_pol3_alpha DUF3307 Glyco_tranf_2_2 HTH_23 NLPC_P60 IstB_IS21 RecA Peptidase_C39_2 Baseplate_J DUF2637 ADP_ribosyl_GH DnaB_C Methyltransf_4 DUF2493 Phage_integrase Sigma70_r4_2 Phage_int_SAM_3 DUF732 Zeta_toxin Glyco_transf_7C Gly_transf_sug PHP HHH_6 Aminotran_3
NC_055803.1,RecT Phage_r1t_holin Terminase_6C HNH_3 LGFP YqaJ NUMOD4 Phage_Mu_F DUF1360 N6_N4_Mtase DUF2744 HK97-gp10_like HTH_17 Terminase_6 DUF1906 Lipoprotein_Ltp Amidase_2 Transglycosylas
NC_055804.1,Amidase_2 Terminase_6 Virulence_RhuM DUF5131 Gln_amidase ASCH Phage_integrase Phage_r1t_holin Phage_int_SAM_4 DUF3799 HK97-gp10_like Recombinase DUF2744 LGFP Phage_Mu_F Phage_int_SAM_1 DNA_methylase Peptidase_M23
NC_053248.1,LAGLIDADG_3 Phage_r1t_holin Cutinase RecT N6_N4_Mtase Amidase_2 DUF1360 Phage_Mu_F HTH_17 YqaJ RNase_T Peptidase_M23
NC_053249.1,RecT Cutinase Phage_r1t_holin DUF1360 Phage_Mu_F RNase_T LAGLIDADG_3 HTH_17 Peptidase_M23 Amidase_2 HNH YqaJ HK97-gp10_like N6_N4_Mtase
NC_048780.1,ATP_bind_2 HNH_3 VirE DUF433 Amidase_2 He_PIG DUF2800 DUF2815 HTH_3 Phage_Gp19 SNF2_N P22_AR_N Peptidase_M78 Phage_integrase DUF2744 HTH_17 Peptidase_M23 DNA_pol_A
NC_054892.1,Tape_meas_lam_C Phage_min_tail Phage_tail_L Helicase_C Phage_TAC_4 VRR_NUC ResIII Prok-JAB Lambda_tail_I Phage_tail_3 DUF2213 Dam Terminase_6C Phage_lysozyme GP3_package DUF1073 DUF3799 ERF Phage-tail_3 DUF1983 NLPC_P60 DUF3987 DUF2184 TMP_2 DUF4054 Prim_Zn_Ribbon DUF4128 Phage_Mu_F
NC_055809.1,Cas_Cas4 DUF2637 DUF5051 RecA Thy1 DNA_pol3_alpha HIT Amidase_2 PHP AAA_28 DUF3307 HHH_6 DUF732 NLPC_P60 zf-CHC2 DUF932 TROVE Ferritin HNH Lsr2 Metallophos DUF1768 fn3 KTSC AAA_33 Phage_portal Glycos_transf_1 Whib vWA-TerF-like RNA_lig_T4_1 CTP_transf_like Thioredoxin PhageMin_Tail LysM PhoD Toprim_4 Nuc-transf Phage_capsid Phage_r1t_holin MazG DnaB_C Peptidase_S78 HATPase_c_3 Laminin_G_3 HNH_3 SLT GP88 RuvC Peptidase_M23 Ribosomal_L12
NC_048791.1,HTH_17 ATP_bind_2 DUF2815 Glyco_hydro_19 DUF2744 RtcB He_PIG Phage_Gp19 Peptidase_M78 Phage_integrase DUF2800 VirE Peptidase_C39_2 SNF2_N DNA_pol_A
NC_048199.1,DNA_pol_B_2 PCNA_C PCNA_N
NC_054466.1,MT-A70 Terminase_2 Phg_2220_C DUF2612 DUF2158 Phage_Mu_F Terminase_3 DUF3383 Phage_pRha DUF4942 HTH_26 DUF4406 HTH_8 AAA_24 NinG Baseplate_J Terminase_3C DUF2591 DUF2184 ANT DUF4054 DUF2213 HTH_31 DUF1073
NC_051739.1,DNA_methylase DUF4326 RecT DUF5131 Phage_integrase Peptidase_C39_2 Mu-like_Pro HTH_17 DUF1643 DUF3799 Phage_holin_7_1 RusA Bro-N DUF732 DUF2190 ANT DUF2746 Ftsk_gamma CLP_protease
NC_055812.1,ParBc PAPS_reduct Amidase_2 Terminase_6 AAA_25 Prim-Pol Phage_Mu_F ResIII DUF932 DNA_pol_A Helicase_C
NC_049465.1,CHAP Glutaredoxin HNH_3 Terminase_6 Peptidase_M23 Baseplate_J SSB PTR Phage_tail_S AAA_23 Gln_amidase LysM Mu-like_Pro DNA_methylase
NC_055813.1,AAA_28 Amidase_2 dCMP_cyt_deam_1 Peptidase_M23 RNA_lig_T4_1 MazG Laminin_G_3 fn3 NUDIX DnaB_C AAA_33 Phage_capsid HHH_6 DUF932 PHP Thy1 Peptidase_S78 vWA-TerF-like Ribosomal_L12 HATPase_c_3 DUF2637 DNA_pol3_alpha DUF3307 HNH TROVE Thioredoxin Cas_Cas4 zf-CHC2 GP88 PhageMin_Tail Whib RuvC DUF732 Nuc-transf Methyltransf_21 KTSC Lsr2 DUF1768 HNH_3 SLT Toprim_4 LysM Metallophos DUF5051 RecA Phage_portal Ferritin NLPC_P60
NC_054776.1,Peptidase_M15_4 Phage_capsid DUF2637 DnaB_C Phage_prot_Gp6 Recombinase HTH_38 Thy1 Zn_ribbon_recom Phage_Gp19 DNA_pol_A PG_binding_1 Gp52 Toprim_2 dCMP_cyt_deam_1 Resolvase Terminase_1 DUF2746 DNA_pol_A_exo1 ArdA DUF2744 Endonuclease_7 Metallophos Ribonuc_red_lgC PDDEXK_1 Gp68 GP24_25
NC_054678.1,Resolvase Recombinase GP24_25 Phage_prot_Gp6 HHH_6 DUF2746 LysM AAA_25 PHP Sipho_tail Sipho_Gp37 Thy1 Mrr_cat Ribonuc_red_lgC Thioredoxin dCMP_cyt_deam_1 N6_N4_Mtase DNA_pol3_alpha Sigma70_r4 HNH_3 Peptidase_S74
NC_060132.1,NAPRTase DnaB Amidase_2 Thy1 ERF Phage_int_SAM_3 Glutaredoxin Peptidase_C39_2 Nuc-transf Prim-Pol TROVE Beta-lactamase2 Glycos_transf_2 Phage_prot_Gp6 RNA_ligase Ribonuc_red_sm Collagen RusA Whib HNH_3 SSB HTH_17 PRA-PH Dam DnaB_C Lsr2 Terminase_1 DNA_methylase Terminase_6 DUF2744 AAA_33 Phage_integrase
NC_048782.1,DNA_methylase NUMOD4 DUF3800 RuvC LGFP HNH Phage_integrase PTR Peptidase_M78 Phage_r1t_holin NLPC_P60 rve HTH_17 Phage_prot_Gp6 HNH_3 DUF4352 Amidase_2 HTH_21 HTH_Tnp_1 HTH_11
NC_055805.1,Terminase_6C N6_N4_Mtase HNH_3 Phage_Mu_F DUF2744 Recombinase NUMOD4 Terminase_6 Phage_r1t_holin DUF3799 ParBc LGFP RHH_1 Phage_integrase HK97-gp10_like
NC_052419.1,Resolvase Phage_capsid Peptidase_M15_4 Toprim_2 N6_N4_Mtase Glutaredoxin DNA_pol_A Endonuclease_7 PDDEXK_1 Gp63 Imm_superinfect DNA_pol_A_exo1 Recombinase DUF2744 Phage_prot_Gp6 Beta-lactamase AAA_25 DNA_methylase Gp52 Phage_Gp19 GP24_25 Gp79
NC_048783.1,HTH_17 PDDEXK_1 RNase_T Peptidase_M23 DUF4406 PhageMin_Tail Amidase_2 SNF2_N PE-PPE Helicase_C N6_N4_Mtase CobT_C AAA_5 Phage_cap_E RusA
NC_048784.1,Mu-like_Pro He_PIG DUF550 PTR Peptidase_M23 Collagen HTH_23 Phage_Gp19 CLP_protease Phage_int_SAM_1 Phage_integrase RuvC DUF2637 DUF3799 DUF3850 DUF4326 Glyco_hydro_19 DUF2190
NC_053240.1,Phage_r1t_holin Terminase_6 Terminase_6C DUF2744 Phage_Mu_F RecT Peptidase_M23 Lipoprotein_Ltp YqaJ HTH_17 LGFP HK97-gp10_like Transglycosylas Abhydrolase_6 Dam
NC_051679.1,N6_N4_Mtase Phage_integrase Glycos_transf_2 Beta-lactamase HTH_17 ANT DUF732 HK97-gp10_like Phage_int_SAM_3 DUF2746 Glyco_transf_25 Phage_r1t_holin Whib P22_CoatProtein Phage_prot_Gp6 APH Amidase_2 HNH_5 PTR
NC_044045.1,Calici_coat Peptidase_C37 RdRP_1 RNA_helicase
NC_044047.1,Calici_coat RNA_helicase Peptidase_C37 RdRP_1
NC_044046.1,RNA_helicase Peptidase_C37 Calici_coat RdRP_1
NC_048797.1,Terminase_GpA LpqV PhoH DUF2634 Gamma_PGA_hydro zf-CHC2 PG_binding_1 Peptidase_S8 NLPC_P60 DUF5051 Bac_DNA_binding Peptidase_M23 HNH_3 Peptidase_M15_4 Phage_portal Sigma70_r4 Thg1 AAA_18 DUF3603 HTH_3 DNA_pol_A Pectate_lyase_3 RNA_pol_A_CTD Ribonuc_red_sm Nuc-transf DUF859 DUF4815 HTH_26 NUMOD4 Holin_SPP1 Helicase_C Ribonuc_red_lgC dUTPase DnaB_C Baseplate_J Sigma70_r2 Metallophos Peptidase_C92 Ribonuc_red_lgN AIPR Metallophos_2 FtsK_SpoIIIE ResIII 3D DHFR_1 RecA AAA_23 DNA_pol_A_exo1 HNH Thymidylat_synt RtcB DUF1653
NC_049927.1,Phage_capsid SNF2_N Thymidylat_synt AAA_25 AAA_24 Terminase_6C PDDEXK_1 DNA_pol_A_exo1 PG_binding_1 Prophage_tail Glyco_hydro_18 DUF2786 Helicase_C DNA_pol_A PRA-PH Hjc RepB_primase
NC_054655.1,Peptidase_S74 Zn_ribbon_recom Sigma70_r4 AAA_25 PHP Lsr2 Exo_endo_phos Recombinase Sipho_tail GP24_25 DNA_pol3_alpha Phage_prot_Gp6 DUF2746 Collagen HHH_6 tRNA_anti-codon Resolvase Sipho_Gp37
NC_052414.1,Imm_superinfect PDDEXK_1 Peptidase_M15_4 Toprim_2 Recombinase Beta-lactamase Gp63 Glutaredoxin Gp79 DNA_pol_A_exo1 PTR Phage_Gp19 AAA_25 GP24_25 Resolvase DUF2744 DNA_pol_A Phage_capsid HNH_3 Phage_prot_Gp6
NC_048801.1,DNA_pol_A PG_binding_1 DUF2800 Collar AAA fn3 Prim-Pol
NC_054760.1,GP70 PDDEXK_1 Peptidase_C39_2 Ribonuc_red_lgC AAA_25 DUF2493 DUF2746 Thy1 HTH_38 Collagen DNA_pol_A_exo1 DUF2510 DUF2786 Gp68 GP24_25 DUF2637 DNA_pol_A GP88 Phage_Gp19 Gp63 Phage_capsid Metallophos HTH_17 DUF2744 Gp52 Phage_int_SAM_3 Phage_prot_Gp6 Toprim_2 Abhydrolase_1 Endonuclease_7 Phage_integrase
NC_055811.1,DUF935 RecT DUF4326 YqaJ ParE_toxin ANT Phage_r1t_holin Cutinase CLP_protease PhdYeFM_antitox Lipase_GDSL_2 Resolvase Peptidase_M15_4 HTH_31 Recombinase Mu-like_Pro DNA_methylase DUF3263 HNH
NC_049455.1,Helicase_C DUF2493 Phage_gp49_66 Pribosyltran Beta_helix Gp23 Terminase_6C Peptidase_S77 T4_neck-protein Ribonuc_red_sm PspA_IM30 TOPRIM_C dUTPase_2 Peptidase_S80 NAPRTase gp32 Ribonuc_red_lgN T4-gp15_tss DNA_topoisoIV Gp5_OB bPH_2 Glutaredoxin Phage_sheath_1C HTH_23 Translat_reg DUF4815 Phage_T4_gp19 GPW_gp25 T4_baseplate CHAP Bac_DNA_binding Phage_clamp_A Ribonuc_red_lgC RecA Thymidylat_synt Zn-ribbon_8 DNA_Packaging PP-binding RNase_H Pribosyltran_N DNA_pol_B DnaB_C DNA_pol_B_exo1 ATP-cone Ig_3 AAA Phage_gp53 HATPase_c PG_binding_1 ResIII RuvC NT5C UvsY dCMP_cyt_deam_1 VWA_3 Phage_tail_NK DNA_gyraseB PhoH PDDEXK_1 Phage_sheath_1 Helicase_C_2 Muraidase DNA_ligase_A_M Trans_coact DUF4326 Terminase_6
NC_054894.1,Phage-tail_3 Phage_TAC_4 Helicase_C Prim_Zn_Ribbon DUF2184 DUF1983 VRR_NUC Peptidase_S74 Phage_Mu_F Phage_tail_L NLPC_P60 Lambda_tail_I Dam GP3_package DUF4054 Phage_tail_3 TMP_2 DUF1799 Prok-JAB Tape_meas_lam_C ResIII DUF1073 Acid_phosphat_B Phage_lysozyme EFP_N DUF2213 DUF3799 ERF Phage_min_tail Terminase_6C DUF3987 DUF4128
NC_055025.1,Terminase_3 DUF1108 DUF3310 Bro-N Peptidase_M78 Sigma70_r4 DnaB_2 Ntox50 DUF2479 ORF6C Phage_TAC_12 Phage_Mu_F HK97-gp10_like Phage_prot_Gp6 DUF4355 Sipho_Gp157 Phage_int_SAM_5 Phage_tail_2 Lipase_GDSL_2 ERF Phage_integrase Phage_connect_1 DUF4231 HTH_36 DUF1381 Sipho_tail RusA DUF1863 CHAP Phage_holin_1 Prophage_tail HTH_3 Phage_int_SAM_3 Terminase_3C dUTPase HNHc_6 Terminase_2 DnaB_C Big_2 SSB Arm-DNA-bind_4 Glucosaminidase CRISPR_Cas2 RinB
